writeFailed "ERROR:##GAME FOLDER IS##READ-ONLY"
noWithdrawMethods "WITHDRAWAL IS DISABLED"



withdrawMoney "WITHDRAW $"

name "NAME"
address1 "ADDRESS"
address2 " "

city "CITY"
state "STATE"
zip "ZIP"

province "PROVINCE"
postalCode "CODE"
country "COUNTRY"

sendCheckButton "MAIL CHECK"


feeSubtracted "$%.2f FEE WILL BE SUBTRACTED"


checkFailed "MAILING TO THIS ADDRESS FAILED"
unknownCountry "UNRECOGNIZED COUNTRY"



transferMoney "TRANSFER $"

transferButton "TRANSFER"


recipientNotFound "NO ACCOUNT FOR THIS EMAIL"


newGame "NEW GAME"

gamesNotAllowed "GAMES CANNOT START NOW"


buyIn "GAME STAKES:"

amuletGame "AMULET GAME"

dropAmulet "DROP AMULET"
dropAmuletConfirm "DROP AMULET?"

amuletLimit "AMULET GAME NEEDS $%.2f BALANCE" 

create "CREATE"
createExp "CREATE EXPERIMENTAL"


amuletTip "RANDOM STAKES $%.2f OR LOWER"
nonAmuletTip "MAKE A NON-AMULET GAME"


amuletDropped "AMULET DROPPED"



waitingStart "WAITING FOR OPPONENT"

otherGames "OTHER GAMES:"

amuletGameStakesStarted "JOINED AMULET GAME FOR:"

unknownStakes "UNKNOWN"


gameList "JOIN GAME:"

prevPage "LESS $"
nextPage "MORE $"

refresh "REFRESH"


joinButtonTip "JOIN FOR %s"
enterTournamentButtonTip "CLICK FOR TOURNAMENT INFO"
tournamentMatchButtonTip "TOURNAMENT MATCH FOR %s"

expMatchButtonTip "EXPERIMENTAL MATCH FOR %s"

cannotJoinButtonTip "CANNOT AFFORD %s"

cannotJoinTournamentButtonTip "CANNOT AFFORD TOURNAMENT"


entryFee "ENTRY FEE:"
tournamentStakes "PER GAME STAKES:"
tournamentTimeLeft "TIME REMAINING:"

day " DAY"
days " DAYS"

hour " HOUR"
hours " HOURS"

minute " MINUTE"
minutes " MINUTES"

second " SECOND"
seconds " SECONDS"

tournamentExplain "NET PROFIT IN %s GAMES##BY DEADLINE DETERMINES WINNERS"

enterTournament "PAY ENTRY FEE"
 

commit "COMMIT"
bet "BET"
fold "FOLD"
leave "LEAVE"
leaveConfirm "LEAVE?"

leavePenalty "(PAY %d)"


gone "GONE"

gameEnded "GAME ENDED"

gameExpired "GAME TIMED OUT"



seeCashier "PLEASE SEE CASHIER"

code "CODE"
start "START"


downloadingUpdate "DOWNLOADING UPDATE"
applyingUpdate "APPLYING UPDATE"



receivingAmulet "RECEIVING AMULET"
receivingAmuletFailed "FAILED TO FETCH AMULET"




pauseMessage1 "[ENTER] TO RESUME"

pauseMessage2 "OR TYPE SOMETHING:"

pauseMessage3 "PRESS [%] TO QUIT"
pauseMessage3b "YOU CAN'T QUIT NOW"

pauseMessage4 "-"



quitMessage "[ESC] TO QUIT"



playbackTag           "PLAYBACK %:"
playbackToggleMessage "(PRESS [%] TO HIDE)"
playbackEndMessage    "(PRESS [ESC] TO END)"


enterDemoCode  "Enter a demo code:"
checkingCode  "Checking demo permissions with server..."



responseWarning "CANNOT REACH SERVER.##ATTEMPTING RETRY %d"


err_webRequest   "ERROR:  WEB REQUEST FAILED."
err_codeFailed  "This demo code was denied by the server."
err_serverVerifyFailed  "Response from the server##could not be authenticated."

err_badServerResponse  "ERROR:  UNEXPECTED##RESPONSE FROM SERVER"
